old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect,cardinal_five,cardinal_four
Dyrøy,Dyrøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Tranøy,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Torsken,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Berg,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Lenvik,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
,Senja,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Balsfjord,Balsfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Karlsøy,Karlsøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Lyngen,Lyngen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Storfjord,Storfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Kåfjord,Kåfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Skjervøy,Skjervøy,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Nordreisa,Nordreisa,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Kvænangen,Kvænangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,2,north,north
Kautokeino,Kautokeino,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2,north,north
Loppa,Loppa,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2,north,north
Hasvik,Hasvik,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Måsøy,Måsøy,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Nordkapp,Nordkapp,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Porsanger,Porsanger,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Karasjok,Karasjok,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2,north,north
Lebesby,Lebesby,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Gamvik,Gamvik,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Berlevåg,Berlevåg,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Tana,Tana,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2,north,north
Nesseby,Nesseby,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,2,north,north
Båtsfjord,Båtsfjord,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Sør-Varanger,Sør-Varanger,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Trondheim,Trondheim,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Klæbu,Trondheim,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Steinkjer,Steinkjer,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Verran,Steinkjer,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Namsos,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
Namdalseid,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Fosnes,Namsos,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
Frøya,Frøya,Sør-Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Osen,Osen,Sør-Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Oppdal,Oppdal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Rennebu,Rennebu,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Røros,Røros,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Holtålen,Holtålen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Midtre Gauldal,Midtre Gauldal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Melhus,Melhus,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Skaun,Skaun,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Malvik,Malvik,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Selbu,Selbu,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Tydal,Tydal,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Meråker,Meråker,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Stjørdal,Stjørdal,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Frosta,Frosta,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Levanger,Levanger,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Verdal,Verdal,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Snåsa,Snåsa,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Lierne,Lierne,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Røyrvik,Røyrvik,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Namsskogan,Namsskogan,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Grong,Grong,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Høylandet,Høylandet,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Overhalla,Overhalla,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,9,mid,mid
Flatanger,Flatanger,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
Leka,Leka,Nord-Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
Inderøy,Inderøy,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Mosvik,Inderøy,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Rissa,Indre Fosen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
,Indre Fosen,Sør-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
Leksvik,Indre Fosen,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
,Indre Fosen,Nord-Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
Halsa,Heim,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
,Heim,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Hemne,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Snillfjord,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
,Heim,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Hitra,Hitra,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Snillfjord,Hitra,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Ørland,Ørland,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Bjugn,Ørland,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Åfjord,Åfjord,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Roan,Åfjord,Trøndelag,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Snillfjord,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
Agdenes,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
Meldal,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,10,mid,mid
Orkdal,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,9,mid,mid
,Orkland,Trøndelag,Trøndelag,Trøndelag,Østtrøndsk,8,mid,mid
Vikna,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
Nærøy,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
,Nærøysund,Trøndelag,Trøndelag,Trøndelag,Namdalsk,8,mid,mid
Rindal,Rindal,Møre og Romsdal,Trøndelag,Trøndelag,Uttrøndersk,8,mid,mid
Horten,Horten,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Holmestrand,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Sande,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Hof,Holmestrand,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Tønsberg,Tønsberg,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Re,Tønsberg,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Sandefjord,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Andebu,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Stokke,Sandefjord,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Larvik,Larvik,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Lardal,Larvik,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Porsgrunn,Porsgrunn,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23,east,east
Skien,Skien,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23,east,east
Notodden,Notodden,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Nøtterøy,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Tjøme,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
,Færder,Vestfold,Vestfold og Telemark,Vestfold,Østlandsk,23,east,east
Siljan,Siljan,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23,east,east
Bamble,Bamble,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,23,south,east
Kragerø,Kragerø,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,23,south,east
Drangedal,Drangedal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21,south,east
Nome,Nome,Telemark,Vestfold og Telemark,Telemark,Østlandsk,23,east,east
Bø,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Sauherad,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
,Midt-Telemark,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Tinn,Tinn,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Hjartdal,Hjartdal,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Seljord,Seljord,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Kviteseid,Kviteseid,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Nissedal,Nissedal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21,south,east
Fyresdal,Fyresdal,Telemark,Vestfold og Telemark,Telemark,Sørlandsk,21,south,east
Tokke,Tokke,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Vinje,Vinje,Telemark,Vestfold og Telemark,Telemark,Midlandsk,21,east,east
Bergen,Bergen,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
Flora,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Vågsøy,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
,Kinn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Etne,Etne,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Sveio,Sveio,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Bømlo,Bømlo,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Stord,Stord,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Fitjar,Fitjar,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Tysnes,Tysnes,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Kvinnherad,Kvinnherad,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Jondal,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Odda,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Ullensvang,Ullensvang,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Eidfjord,Eidfjord,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Ulvik,Ulvik,Hordaland,Vestland,Vestland,Sørvestlandsk,15,west,west
Granvin,Voss,Hordaland,Vestland,Vestland,Sørvestlandsk,15,west,west
Voss,Voss,Hordaland,Vestland,Vestland,Sørvestlandsk,15,west,west
Kvam,Kvam,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Samnanger,Samnanger,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Fusa,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Os,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
,Bjørnafjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
Austevoll,Austevoll,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Sund,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
Fjell,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
Øygarden,Øygarden,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Askøy,Askøy,Hordaland,Vestland,Vestland,Sørvestlandsk,17,west,west
Vaksdal,Vaksdal,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Modalen,Modalen,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Osterøy,Osterøy,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Meland,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Radøy,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Lindås,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
,Alver,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Austrheim,Austrheim,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Fedje,Fedje,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Masfjorden,Masfjorden,Hordaland,Vestland,Vestland,Sørvestlandsk,16,west,west
Gulen,Gulen,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Solund,Solund,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Hyllestad,Hyllestad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Høyanger,Høyanger,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Vik,Vik,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Balestrand,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Leikanger,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Sogndal,Sogndal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Aurland,Aurland,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Lærdal,Lærdal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Årdal,Årdal,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Luster,Luster,Sogn og Fjordane,Vestland,Vestland,Sørvestlandsk,14,west,west
Askvoll,Askvoll,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Fjaler,Fjaler,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Gaular,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Jølster,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Førde,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Naustdal,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
,Sunnfjord,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Bremanger,Bremanger,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Vågsøy,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Selje,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,12,west,west
Eid,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
,Stad,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Gloppen,Gloppen,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Stryn,Stryn,Sogn og Fjordane,Vestland,Vestland,Nordvestlandsk,13,west,west
Halden,Halden,Østfold,Viken,Østfold,Østlandsk,23,east,east
Moss,Moss,Østfold,Viken,Østfold,Østlandsk,23,east,east
Rygge,Moss,Østfold,Viken,Østfold,Østlandsk,23,east,east
Sarpsborg,Sarpsborg,Østfold,Viken,Østfold,Østlandsk,23,east,east
Fredrikstad,Fredrikstad,Østfold,Viken,Østfold,Østlandsk,23,east,east
Drammen,Drammen,Buskerud,Viken,Buskerud,Østlandsk,23,east,east
Nedre Eiker,Drammen,Buskerud,Viken,Buskerud,Østlandsk,23,east,east
Svelvik,Drammen,Vestfold,Viken,Buskerud,Østlandsk,23,east,east
,Drammen,Vestfold,Viken,Buskerud,Østlandsk,23,east,east
Kongsberg,Kongsberg,Buskerud,Viken,Buskerud,Østlandsk,23,east,east
Ringerike,Ringerike,Buskerud,Viken,Buskerud,Østlandsk,21,east,east
Hvaler,Hvaler,Østfold,Viken,Østfold,Østlandsk,23,east,east
Aremark,Aremark,Østfold,Viken,Østfold,Østlandsk,23,east,east
Marker,Marker,Østfold,Viken,Østfold,Østlandsk,23,east,east
Trøgstad,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
Spydeberg,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
Askim,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
Eidsberg,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
Hobøl,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
,Indre Østfold,Østfold,Viken,Østfold,Østlandsk,23,east,east
Skiptvet,Skiptvet,Østfold,Viken,Østfold,Østlandsk,23,east,east
Rakkestad,Rakkestad,Østfold,Viken,Østfold,Østlandsk,23,east,east
Råde,Råde,Østfold,Viken,Østfold,Østlandsk,23,east,east
Våler,Våler,Østfold,Viken,Østfold,Østlandsk,23,east,east
Vestby,Vestby,Akershus,Viken,Akershus,Østlandsk,22,east,east
Ski,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22,east,east
Oppegård,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22,east,east
,Nordre Follo,Akershus,Viken,Akershus,Østlandsk,22,east,east
Ås,Ås,Akershus,Viken,Akershus,Østlandsk,22,east,east
Frogn,Frogn,Akershus,Viken,Akershus,Østlandsk,22,east,east
Nesodden,Nesodden,Akershus,Viken,Akershus,Østlandsk,22,east,east
Bærum,Bærum,Akershus,Viken,Akershus,Østlandsk,22,east,east
Asker,Asker,Akershus,Viken,Akershus,Østlandsk,22,east,east
Røyken,Asker,Buskerud,Viken,Akershus,Østlandsk,23,east,east
Hurum,Asker,Buskerud,Viken,Akershus,Østlandsk,23,east,east
,Asker,Buskerud,Viken,Akershus,Østlandsk,23,east,east
Rømskog,Aurskog-Høland,Østfold,Viken,Akershus,Østlandsk,23,east,east
,Aurskog-Høland,Østfold,Viken,Akershus,Østlandsk,23,east,east
Aurskog-Høland,Aurskog-Høland,Akershus,Viken,Akershus,Østlandsk,22,east,east
Rælingen,Rælingen,Akershus,Viken,Akershus,Østlandsk,22,east,east
Enebakk,Enebakk,Akershus,Viken,Akershus,Østlandsk,22,east,east
Lørenskog,Lørenskog,Akershus,Viken,Akershus,Østlandsk,22,east,east
Sørum,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22,east,east
Fet,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22,east,east
Skedsmo,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22,east,east
,Lillestrøm,Akershus,Viken,Akershus,Østlandsk,22,east,east
Nittedal,Nittedal,Akershus,Viken,Akershus,Østlandsk,22,east,east
Gjerdrum,Gjerdrum,Akershus,Viken,Akershus,Østlandsk,22,east,east
Ullensaker,Ullensaker,Akershus,Viken,Akershus,Østlandsk,22,east,east
Nes,Nes,Akershus,Viken,Akershus,Østlandsk,22,east,east
Eidsvoll,Eidsvoll,Akershus,Viken,Akershus,Østlandsk,22,east,east
Nannestad,Nannestad,Akershus,Viken,Akershus,Østlandsk,22,east,east
Hurdal,Hurdal,Akershus,Viken,Akershus,Østlandsk,22,east,east
Hole,Hole,Buskerud,Viken,Buskerud,Østlandsk,21,east,east
Flå,Flå,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Nes,Nesbyen,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
,Nesbyen,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Gol,Gol,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Hemsedal,Hemsedal,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Ål,Ål,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Hol,Hol,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Sigdal,Sigdal,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Krødsherad,Krødsherad,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Modum,Modum,Buskerud,Viken,Buskerud,Østlandsk,21,east,east
Øvre Eiker,Øvre Eiker,Buskerud,Viken,Buskerud,Østlandsk,23,east,east
Lier,Lier,Buskerud,Viken,Buskerud,Østlandsk,23,east,east
Flesberg,Flesberg,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Rollag,Rollag,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Nore og Uvdal,Nore og Uvdal,Buskerud,Viken,Buskerud,Midlandsk,21,east,east
Jevnaker,Jevnaker,Oppland,Viken,Akershus,Østlandsk,21,east,east
Lunner,Lunner,Oppland,Viken,Akershus,Østlandsk,21,east,east
