old_muni,new_muni,old_county,new_county,named_dialect,numeric_dialect
Re,Tønsberg,Vestfold,Vestfold og Telemark,Østlandsk,23
Sandefjord,Sandefjord,Vestfold,Vestfold og Telemark,Østlandsk,23
Andebu,Sandefjord,Vestfold,Vestfold og Telemark,Østlandsk,23
Stokke,Sandefjord,Vestfold,Vestfold og Telemark,Østlandsk,23
Larvik,Larvik,Vestfold,Vestfold og Telemark,Østlandsk,23
Lardal,Larvik,Vestfold,Vestfold og Telemark,Østlandsk,23
Porsgrunn,Porsgrunn,Telemark,Vestfold og Telemark,Østlandsk,23
Skien,Skien,Telemark,Vestfold og Telemark,Østlandsk,23
Notodden,Notodden,Telemark,Vestfold og Telemark,Midlandsk,21
Nøtterøy,Færder,Vestfold,Vestfold og Telemark,Østlandsk,23
Tjøme,Færder,Vestfold,Vestfold og Telemark,Østlandsk,23
,Færder,Vestfold,Vestfold og Telemark,Østlandsk,23
Siljan,Siljan,Telemark,Vestfold og Telemark,Østlandsk,23
Bamble,Bamble,Telemark,Vestfold og Telemark,Sørlandsk,23
Kragerø,Kragerø,Telemark,Vestfold og Telemark,Sørlandsk,23
Drangedal,Drangedal,Telemark,Vestfold og Telemark,Sørlandsk,21
Nome,Nome,Telemark,Vestfold og Telemark,Østlandsk,23
Bø,Midt-Telemark,Telemark,Vestfold og Telemark,Midlandsk,21
Sauherad,Midt-Telemark,Telemark,Vestfold og Telemark,Midlandsk,21
,Midt-Telemark,Telemark,Vestfold og Telemark,Midlandsk,21
Tinn,Tinn,Telemark,Vestfold og Telemark,Midlandsk,21
Hjartdal,Hjartdal,Telemark,Vestfold og Telemark,Midlandsk,21
Seljord,Seljord,Telemark,Vestfold og Telemark,Midlandsk,21
Kviteseid,Kviteseid,Telemark,Vestfold og Telemark,Midlandsk,21
Nissedal,Nissedal,Telemark,Vestfold og Telemark,Sørlandsk,21
Fyresdal,Fyresdal,Telemark,Vestfold og Telemark,Sørlandsk,21
Tokke,Tokke,Telemark,Vestfold og Telemark,Midlandsk,21
Vinje,Vinje,Telemark,Vestfold og Telemark,Midlandsk,21
Bergen,Bergen,Hordaland,Vestland,Sørvestlandsk,17
Flora,Kinn,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Vågsøy,Kinn,Sogn og Fjordane,Vestland,Nordvestlandsk,13
,Kinn,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Etne,Etne,Hordaland,Vestland,Sørvestlandsk,16
Sveio,Sveio,Hordaland,Vestland,Sørvestlandsk,16
Bømlo,Bømlo,Hordaland,Vestland,Sørvestlandsk,16
Stord,Stord,Hordaland,Vestland,Sørvestlandsk,16
Fitjar,Fitjar,Hordaland,Vestland,Sørvestlandsk,16
Tysnes,Tysnes,Hordaland,Vestland,Sørvestlandsk,16
Kvinnherad,Kvinnherad,Hordaland,Vestland,Sørvestlandsk,16
Jondal,Ullensvang,Hordaland,Vestland,Sørvestlandsk,16
Odda,Ullensvang,Hordaland,Vestland,Sørvestlandsk,16
Ullensvang,Ullensvang,Hordaland,Vestland,Sørvestlandsk,16
Eidfjord,Eidfjord,Hordaland,Vestland,Sørvestlandsk,16
Ulvik,Ulvik,Hordaland,Vestland,Sørvestlandsk,15
Granvin,Voss,Hordaland,Vestland,Sørvestlandsk,15
Voss,Voss,Hordaland,Vestland,Sørvestlandsk,15
Kvam,Kvam,Hordaland,Vestland,Sørvestlandsk,16
Samnanger,Samnanger,Hordaland,Vestland,Sørvestlandsk,16
Fusa,Bjørnafjorden,Hordaland,Vestland,Sørvestlandsk,16
Os,Bjørnafjorden,Hordaland,Vestland,Sørvestlandsk,17
,Bjørnafjorden,Hordaland,Vestland,Sørvestlandsk,17
Austevoll,Austevoll,Hordaland,Vestland,Sørvestlandsk,16
Sund,Øygarden,Hordaland,Vestland,Sørvestlandsk,17
Fjell,Øygarden,Hordaland,Vestland,Sørvestlandsk,17
Øygarden,Øygarden,Hordaland,Vestland,Sørvestlandsk,16
Askøy,Askøy,Hordaland,Vestland,Sørvestlandsk,17
Vaksdal,Vaksdal,Hordaland,Vestland,Sørvestlandsk,16
Modalen,Modalen,Hordaland,Vestland,Sørvestlandsk,16
Osterøy,Osterøy,Hordaland,Vestland,Sørvestlandsk,16
Meland,Alver,Hordaland,Vestland,Sørvestlandsk,16
Radøy,Alver,Hordaland,Vestland,Sørvestlandsk,16
Lindås,Alver,Hordaland,Vestland,Sørvestlandsk,16
,Alver,Hordaland,Vestland,Sørvestlandsk,16
Austrheim,Austrheim,Hordaland,Vestland,Sørvestlandsk,16
Fedje,Fedje,Hordaland,Vestland,Sørvestlandsk,16
Masfjorden,Masfjorden,Hordaland,Vestland,Sørvestlandsk,16
Gulen,Gulen,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Solund,Solund,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Hyllestad,Hyllestad,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Høyanger,Høyanger,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Vik,Vik,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Balestrand,Sogndal,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Leikanger,Sogndal,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Sogndal,Sogndal,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Aurland,Aurland,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Lærdal,Lærdal,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Årdal,Årdal,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Luster,Luster,Sogn og Fjordane,Vestland,Sørvestlandsk,14
Askvoll,Askvoll,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Fjaler,Fjaler,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Gaular,Sunnfjord,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Jølster,Sunnfjord,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Førde,Sunnfjord,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Naustdal,Sunnfjord,Sogn og Fjordane,Vestland,Nordvestlandsk,13
,Sunnfjord,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Bremanger,Bremanger,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Vågsøy,Stad,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Selje,Stad,Sogn og Fjordane,Vestland,Nordvestlandsk,12
Eid,Stad,Sogn og Fjordane,Vestland,Nordvestlandsk,13
,Stad,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Gloppen,Gloppen,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Stryn,Stryn,Sogn og Fjordane,Vestland,Nordvestlandsk,13
Halden,Halden,Østfold,Viken,Østlandsk,23
Moss,Moss,Østfold,Viken,Østlandsk,23
Rygge,Moss,Østfold,Viken,Østlandsk,23
Sarpsborg,Sarpsborg,Østfold,Viken,Østlandsk,23
Fredrikstad,Fredrikstad,Østfold,Viken,Østlandsk,23
Drammen,Drammen,Buskerud,Viken,Østlandsk,23
Nedre Eiker,Drammen,Buskerud,Viken,Østlandsk,23
Svelvik,Drammen,Vestfold,Viken,Østlandsk,23
,Drammen,Vestfold,Viken,Østlandsk,23
Kongsberg,Kongsberg,Buskerud,Viken,Østlandsk,23
Ringerike,Ringerike,Buskerud,Viken,Østlandsk,21
Hvaler,Hvaler,Østfold,Viken,Østlandsk,23
Aremark,Aremark,Østfold,Viken,Østlandsk,23
Marker,Marker,Østfold,Viken,Østlandsk,23
Trøgstad,Indre Østfold,Østfold,Viken,Østlandsk,23
Spydeberg,Indre Østfold,Østfold,Viken,Østlandsk,23
Askim,Indre Østfold,Østfold,Viken,Østlandsk,23
Eidsberg,Indre Østfold,Østfold,Viken,Østlandsk,23
Hobøl,Indre Østfold,Østfold,Viken,Østlandsk,23
,Indre Østfold,Østfold,Viken,Østlandsk,23
Skiptvet,Skiptvet,Østfold,Viken,Østlandsk,23
Rakkestad,Rakkestad,Østfold,Viken,Østlandsk,23
Råde,Råde,Østfold,Viken,Østlandsk,23
Våler,Våler,Østfold,Viken,Østlandsk,23
Vestby,Vestby,Akershus,Viken,Østlandsk,22
Ski,Nordre Follo,Akershus,Viken,Østlandsk,22
Oppegård,Nordre Follo,Akershus,Viken,Østlandsk,22
,Nordre Follo,Akershus,Viken,Østlandsk,22
Ås,Ås,Akershus,Viken,Østlandsk,22
Frogn,Frogn,Akershus,Viken,Østlandsk,22
Nesodden,Nesodden,Akershus,Viken,Østlandsk,22
Bærum,Bærum,Akershus,Viken,Østlandsk,22
Asker,Asker,Akershus,Viken,Østlandsk,22
Røyken,Asker,Buskerud,Viken,Østlandsk,23
Hurum,Asker,Buskerud,Viken,Østlandsk,23
,Asker,Buskerud,Viken,Østlandsk,23
Rømskog,Aurskog-Høland,Østfold,Viken,Østlandsk,23
,Aurskog-Høland,Østfold,Viken,Østlandsk,23
Aurskog-Høland,Aurskog-Høland,Akershus,Viken,Østlandsk,22
Rælingen,Rælingen,Akershus,Viken,Østlandsk,22
Enebakk,Enebakk,Akershus,Viken,Østlandsk,22
Lørenskog,Lørenskog,Akershus,Viken,Østlandsk,22
Sørum,Lillestrøm,Akershus,Viken,Østlandsk,22
Fet,Lillestrøm,Akershus,Viken,Østlandsk,22
Skedsmo,Lillestrøm,Akershus,Viken,Østlandsk,22
,Lillestrøm,Akershus,Viken,Østlandsk,22
Nittedal,Nittedal,Akershus,Viken,Østlandsk,22
Gjerdrum,Gjerdrum,Akershus,Viken,Østlandsk,22
Ullensaker,Ullensaker,Akershus,Viken,Østlandsk,22
Nes,Nes,Akershus,Viken,Østlandsk,22
Eidsvoll,Eidsvoll,Akershus,Viken,Østlandsk,22
Nannestad,Nannestad,Akershus,Viken,Østlandsk,22
Hurdal,Hurdal,Akershus,Viken,Østlandsk,22
Hole,Hole,Buskerud,Viken,Østlandsk,21
Flå,Flå,Buskerud,Viken,Midlandsk,21
Nes,Nesbyen,Buskerud,Viken,Midlandsk,21
,Nesbyen,Buskerud,Viken,Midlandsk,21
Gol,Gol,Buskerud,Viken,Midlandsk,21
Hemsedal,Hemsedal,Buskerud,Viken,Midlandsk,21
Ål,Ål,Buskerud,Viken,Midlandsk,21
Hol,Hol,Buskerud,Viken,Midlandsk,21
Sigdal,Sigdal,Buskerud,Viken,Midlandsk,21
Krødsherad,Krødsherad,Buskerud,Viken,Midlandsk,21
Modum,Modum,Buskerud,Viken,Østlandsk,21
Øvre Eiker,Øvre Eiker,Buskerud,Viken,Østlandsk,23
Lier,Lier,Buskerud,Viken,Østlandsk,23
Flesberg,Flesberg,Buskerud,Viken,Midlandsk,21
Rollag,Rollag,Buskerud,Viken,Midlandsk,21
Nore og Uvdal,Nore og Uvdal,Buskerud,Viken,Midlandsk,21
Jevnaker,Jevnaker,Oppland,Viken,Østlandsk,21
Lunner,Lunner,Oppland,Viken,Østlandsk,21
